SNo,Type,Products,Weight,Year,Q1,Q2,Q3,Q4
117,Material,"Quarry products(waste,dust and murram)",3.14,2021,102.86,104.08,103.38,93.93
118,Material,Sand,450,2021,93.41,94.79,93.93,97.96
119,Material,Ballast,10.69,2021,98.13,99.44,99.58,131.81
120,Material,Steel and reinforced bars,2.42,2021,120 78,126.87,129.29,95.35
121,Material,Stones,0. 58,2021,96.77,96.64,96.67,91.84
122,Material,Damp Proofing and Anti-termite,2.2,2021,101.77,102.64,91.09,57
123,Material,Timber and Wood,2.06,2021,111.63,116.3,100.63,120.61
124,Material,Paving blocks,0.7,2021,93.95,97.04,120.61,101.61
125,Material,Roofing materials,0.24,2021,94.95,100.07,99.69,100.68
126,Material,Doors,0.26,2021,101 .27,103.67,101.5,103.42
127,Material,Metal doors and windows,0.16,2021,103.12,108.06,101.27,114.18
128,Material,Glass and glass putty Locks and iron mongery,78,2021,101 .23,104.8,111.52,105.31
129,Material,Tiles,84,2021,104.3,104.16,104.89,104.53
130,Material,Chip boards and MDF,-1.01,2021,98.96,99.25,105.25,98.66
131,Material,Paints,1.06,2021,100.01,100.26,98.89,102.13
132,Material,Sanitary fittings,0.16,2021,101 56,102.43,101.56,103.18
133,Material,Water fitti ngg,0.11,2021,101 60,102.35,102.87,101.5
134,Material,Water wastes,0.12,2021,99.34,102.3,104.1,102.91
135,Material,Electrical fittings,0.51,2021,100.6,102.71,103.34,102.79
136,Equipment,Concrete Mixer,5.16,2021,100,100.67,102.41,97 .99
137,Equipment,Concrete poker / Vibrator,36,2021,100,103.71,100.0,103.71
138,Equipment,Excavator and Pedestrian Roller,2.64,2021,99.3,,103.71,100.01
139,Equipment,Compressors,3.04,2021,99 .45,100.07,99.95,
140,Transport,Transport Fuel,5.99,2021,105.65,108.81,99.45,108
141,Labour,Casual,6.67,2021,106.99,106.99,108.81,106.99
142,Labour,Watchman,2.01,2021,106.49,106.49,106.49,106.49
143,Labour,Plumber/Electrician,0.52,2021,102.33,102.38,102.38,102.38
144,Labour,Machine [plant operators,0.91,2021,100.38,100.38,100.38,100.61
145,Labour,Carpenter/Painter/VVelder/Mechanic,3.53,2021,104.54,104.54,104.54,104.56
146,Labour,Mason/foreman,7.8,2021,104.29,104.29,104.29,
